hearing_officer,total_hearings,liable,not_liable,denied,other,liable_pct,not_liable_pct,denied_pct
"Michael Quinn",97838,26576,69300,1962,0,27.16,70.83,2.01
"Urie R.Clark",55439,24023,30686,718,12,43.33,55.35,1.3
"Eileen McHugh",54772,21838,31851,1083,0,39.87,58.15,1.98
"Gia L. Morris",50974,23846,26326,761,41,46.78,51.65,1.49
"Jose Padilla",48730,21261,26278,1180,11,43.63,53.93,2.42
"Robert A. Sussman",41677,27002,14675,0,0,64.79,35.21,0.0
"Michael J. Dudek",40585,18457,21229,781,118,45.48,52.31,1.92
"Martin J. Kennelly Jr.",39033,13677,24851,481,24,35.04,63.67,1.23
"Joan T. Alvarez",37154,17198,18184,1494,278,46.29,48.94,4.02
"Jean M. Brabeck",36301,14370,20579,1321,31,39.59,56.69,3.64
"Elreta C. Dickinson",36213,14024,21043,1018,128,38.73,58.11,2.81
"Mamie Alexander",34382,15342,18486,554,0,44.62,53.77,1.61
"Michael E. Connelly",33038,12586,19663,602,187,38.1,59.52,1.82
"Alfred Quijano",31440,13541,17537,362,0,43.07,55.78,1.15
"Julie Haran-King",31056,15547,14794,694,21,50.06,47.64,2.23
"Michael G. Cawley",29325,14036,14849,440,0,47.86,50.64,1.5
"David Badillo",28086,15207,12397,482,0,54.14,44.14,1.72
"Mark S. Boyle",27466,12126,14477,844,19,44.15,52.71,3.07
"Hugo Chaviano",25992,12040,13701,251,0,46.32,52.71,0.97
"Ricardo Lugo",25809,13144,11889,776,0,50.93,46.07,3.01
"Denis E. Guest",22541,11383,10722,436,0,50.5,47.57,1.93
"Mark Moreno",21981,9502,12087,387,5,43.23,54.99,1.76
"Bernadette Freeman",20262,7065,13088,108,1,34.87,64.59,0.53
"Dyahanne Ware",20174,10035,9658,459,22,49.74,47.87,2.28
"Evelyn Ginger Mance",20117,8143,10984,981,9,40.48,54.6,4.88
"James Reilly",19408,7394,11274,718,22,38.1,58.09,3.7
"Jewel Klein",16790,8297,8493,0,0,49.42,50.58,0.0
"Philip L. Bernstein",15007,7966,6661,351,29,53.08,44.39,2.34
"Rodney Stewart",14702,8205,5998,498,1,55.81,40.8,3.39
"Kathryn Bailey",12964,4773,7848,340,3,36.82,60.54,2.62
"Robert W. Barber",12710,5883,6465,344,18,46.29,50.87,2.71
"Karen L. Riley",11720,3410,8057,251,2,29.1,68.75,2.14
"Barbara J. Bell",10349,3965,6264,120,0,38.31,60.53,1.16
"Mable Taylor",10224,4752,5340,132,0,46.48,52.23,1.29
"Lonathan D. Hurse",9463,7604,1676,183,0,80.36,17.71,1.93
"Heather Neaveill-Kramer",9160,4321,4557,264,18,47.17,49.75,2.88
"Eli R. Johnson",8897,3126,5604,167,0,35.14,62.99,1.88
"Karen B. Breashears",8510,3845,4465,189,11,45.18,52.47,2.22
"Daniel Ruiz",8378,4263,3731,321,63,50.88,44.53,3.83
"Laurie Samuels",8231,4417,3374,440,0,53.66,40.99,5.35
"Donna Rizzuto",7756,4452,2930,360,14,57.4,37.78,4.64
"Mitchell C. Ex",7669,3559,3877,223,10,46.41,50.55,2.91
"Jorge Cazares",7503,3524,3948,31,0,46.97,52.62,0.41
"Mary Jo Strusz",7216,3923,3162,129,2,54.37,43.82,1.79
"Zedrick T. Braden ",7112,2642,4456,14,0,37.15,62.65,0.2
"J. Paula Roderick",6657,2651,3913,91,2,39.82,58.78,1.37
"Joseph Chico",6535,2202,4325,8,0,33.7,66.18,0.12
"Taryn Springs",6393,2799,3315,225,54,43.78,51.85,3.52
"Gregory G. Plesha",6381,3084,3039,178,80,48.33,47.63,2.79
"Harriet J. Parker",5506,3738,1647,119,2,67.89,29.91,2.16
"Zipporah J. Lewis",4703,1919,2782,2,0,40.8,59.15,0.04
"Robert W. Soelter",4395,2137,2171,85,2,48.62,49.4,1.93
"Kyra G. Payne",3813,2025,1610,178,0,53.11,42.22,4.67
"Ewa B. Price",3781,2152,1430,198,1,56.92,37.82,5.24
"Melissa Ortiz",3344,1470,1785,88,1,43.96,53.38,2.63
"Heather Neaveill",3123,1577,1462,82,2,50.5,46.81,2.63
"Rhonda L. Walker",2802,1200,1557,36,9,42.83,55.57,1.28
"Ralph Reyna",2736,1552,1184,0,0,56.73,43.27,0.0
"Rhonda Sallee",2642,1369,1141,129,3,51.82,43.19,4.88
"Rachel L. Berger",2325,965,1276,83,1,41.51,54.88,3.57
"Julie G. Davis",2133,1032,1015,84,2,48.38,47.59,3.94
"Katie Diggins",2126,884,1207,35,0,41.58,56.77,1.65
"Marcia K. Johnson",1585,866,719,0,0,54.64,45.36,0.0
"Boye Akinwande",1001,480,519,2,0,47.95,51.85,0.2
"Casandra Watson",553,178,375,0,0,32.19,67.81,0.0
"Sharon Aguilera",399,210,166,23,0,52.63,41.6,5.76
"Jamar Orr",366,172,194,0,0,46.99,53.01,0.0
"Yolaine Dauphin",329,187,140,2,0,56.84,42.55,0.61
"Anika Matthews-Feldman",293,135,152,6,0,46.08,51.88,2.05
"Brian Porter",46,16,30,0,0,34.78,65.22,0.0
"Monica M. Torres-Linares",38,23,15,0,0,60.53,39.47,0.0
"Leah M. Trinkala",16,12,4,0,0,75.0,25.0,0.0
"Randi Holzman",3,0,1,2,0,0.0,33.33,66.67
"Patricia Jackowiak",1,0,0,1,0,0.0,0.0,100.0
